Trajectories
100
	x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_RHandOut			x_RHandIn			x_RThumb1			x_RThumbTip			x_RIndex2			x_RIndexTip			x_RMiddle2			x_RMiddleTip			x_RRing2			x_RRingTip			x_RPinky2			x_RPinkyTip			x_LThumb1			x_LThumbTip			x_LIndex2			x_LIndexTip			x_LMiddle2			x_LMiddleTip			x_LRing2			x_LRingTip			x_LPinky2			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
20	-770.407	1055.611	688.03	-715.213	1048.57	690.348	-766.792	1128.342	672.554	-707.289	1125.942	692.528	-794.123	-481.162	670.996	-733.907	-497.656	688.922	-702.025	-472.261	661.937	-697.564	-532.764	663.12	-742.194	-568.868	668.919	-746.197	-599.031	660.19	-763.093	-575.29	667.85	0	0	0	-797.743	-563.995	646.315	-776.642	-597.377	652.933	-798.922	-539.753	654.409	-780.626	-562.049	661.304	-675.169	1097.394	671.081	-672.379	1161.932	672.919	-700.675	1200.22	678.748	-703.669	1231.349	666.151	-715.948	1208.425	673.915	-713.644	1244.124	659.456	-735.179	1199.024	666.401	-729.223	1230.205	659.487	-758.45	1179.691	657.852	-755.3	1204.969	656.53
21	-770.425	1055.678	688.073	-715.244	1048.567	690.37	-766.848	1128.413	672.66	-707.309	1125.957	692.577	-794.136	-481.156	671.041	-733.914	-497.656	688.971	-702.015	-472.262	661.966	-697.575	-532.773	663.149	-742.2	-568.873	668.956	-746.2	-599.038	660.238	-763.092	-575.283	667.893	0	0	0	-797.768	-563.989	646.362	-776.683	-597.387	653.05	-798.939	-539.755	654.47	-780.645	-562.047	661.361	-675.248	1097.414	671.123	-672.405	1161.942	672.954	-700.711	1200.24	678.801	-703.693	1231.332	666.18	-716.147	1209.092	674.725	-713.646	1244.122	659.459	-735.198	1199.011	666.406	-729.162	1230.431	659.569	-758.474	1179.686	657.899	-755.312	1204.963	656.573
22	-770.46	1055.684	688.133	-715.259	1048.576	690.391	-766.865	1128.424	672.691	-707.346	1125.962	692.63	-794.165	-481.148	671.13	-733.932	-497.658	689.027	-702.037	-472.276	662.027	-697.593	-532.776	663.201	-742.204	-568.864	668.969	-746.21	-599.06	660.246	-763.125	-575.292	667.95	0	0	0	-797.781	-564.001	646.411	-776.654	-597.343	653.017	-798.935	-539.744	654.499	-780.652	-562.031	661.413	-675.262	1097.415	671.172	-672.448	1161.963	673.017	-700.733	1200.235	678.825	-703.709	1231.351	666.249	-716.001	1208.422	673.984	-713.67	1244.118	659.526	-735.237	1199.083	666.51	-729.18	1230.453	659.622	-758.501	1179.747	657.984	-755.345	1204.97	656.583
23	-770.496	1055.684	688.152	-715.29	1048.594	690.436	-766.858	1128.332	672.602	-707.376	1125.962	692.638	-794.177	-481.136	671.207	-733.932	-497.659	689.066	-702.075	-472.318	662.049	-697.618	-532.788	663.237	-742.242	-568.875	669.059	-746.202	-599.041	660.301	-763.14	-575.284	668.027	0	0	0	-797.801	-563.991	646.485	-776.692	-597.37	653.137	-798.956	-539.748	654.576	-780.67	-562.035	661.484	-675.29	1097.441	671.209	-672.47	1161.966	673.061	-700.764	1200.234	678.869	-703.743	1231.341	666.269	-716.037	1208.428	674.005	-713.719	1244.19	659.682	-735.253	1199.019	666.495	-729.203	1230.415	659.63	-758.536	1179.72	657.99	-755.386	1205.001	656.665
24	-770.516	1055.701	688.178	-715.319	1048.58	690.443	-766.929	1128.389	672.706	-707.408	1125.99	692.686	-794.191	-481.131	671.278	-733.949	-497.661	689.13	-702.063	-472.293	662.099	-697.639	-532.795	663.315	-742.237	-568.855	669.101	-746.199	-599.027	660.332	-763.143	-575.287	668.096	0	0	0	-797.825	-564.012	646.589	-776.674	-597.355	653.137	-798.968	-539.745	654.637	-780.676	-562.025	661.563	-675.315	1097.455	671.233	-672.506	1161.971	673.089	-700.789	1200.248	678.922	-703.784	1231.352	666.312	-716.078	1208.422	674.087	-713.765	1244.211	659.751	-735.291	1199.03	666.526	-729.251	1230.443	659.693	-758.575	1179.728	657.997	-755.427	1205.006	656.711
25	-770.559	1055.686	688.215	-715.348	1048.59	690.472	-766.963	1128.406	672.732	-707.435	1125.982	692.714	-794.207	-481.128	671.349	-733.954	-497.656	689.17	-702.063	-472.297	662.153	-697.658	-532.804	663.411	-742.252	-568.806	669.145	-746.238	-599.013	660.419	-763.182	-575.303	668.221	0	0	0	-797.824	-564.007	646.649	-776.691	-597.373	653.252	-798.992	-539.77	654.75	-780.687	-562.029	661.65	-675.362	1097.469	671.285	-672.53	1161.985	673.144	-700.841	1200.256	678.976	-703.819	1231.34	666.336	-716.099	1208.419	674.087	-713.814	1244.255	659.861	-735.349	1199.116	666.66	-729.289	1230.443	659.752	-758.615	1179.723	658.07	-755.464	1205.002	656.723
26	-770.582	1055.687	688.222	-715.383	1048.605	690.511	-767.002	1128.453	672.811	-707.475	1126.005	692.764	-794.212	-481.126	671.426	-733.966	-497.652	689.251	-702.081	-472.327	662.159	-697.676	-532.812	663.474	-742.283	-568.815	669.263	-746.228	-599.011	660.492	-763.204	-575.317	668.348	0	0	0	-797.843	-564.013	646.759	-776.577	-597.168	652.852	-798.985	-539.745	654.796	-780.717	-562.041	661.749	-675.36	1097.499	671.343	-672.576	1162.027	673.195	-700.868	1200.262	679.013	-703.856	1231.351	666.393	-716.2	1208.491	674.306	-713.838	1244.225	659.863	-735.38	1199.119	666.687	-729.324	1230.483	659.82	-758.656	1179.685	658.015	-755.515	1205.005	656.761
27	-770.616	1055.686	688.252	-715.422	1048.604	690.527	-767.044	1128.388	672.799	-707.522	1126.018	692.818	-794.223	-481.139	671.486	-733.993	-497.663	689.351	-702.112	-472.359	662.231	-697.707	-532.824	663.601	-742.289	-568.805	669.332	-746.229	-598.992	660.591	-763.245	-575.36	668.578	0	0	0	-797.852	-564.021	646.862	-776.748	-597.434	653.572	-799.001	-539.745	654.9	-780.729	-562.049	661.83	-675.433	1097.496	671.353	-672.624	1162.027	673.245	-700.923	1200.268	679.046	-703.913	1231.37	666.435	-716.238	1208.48	674.299	-713.902	1244.297	659.971	-735.439	1199.128	666.733	-729.394	1230.469	659.831	-758.694	1179.734	658.134	-755.56	1205.038	656.825
28	-770.661	1055.685	688.249	-715.458	1048.619	690.557	-767.109	1128.443	672.865	-707.563	1126.008	692.829	-794.225	-481.132	671.563	-734.002	-497.658	689.446	-702.091	-472.328	662.328	-697.721	-532.823	663.753	-742.288	-568.8	669.431	-746.282	-599.014	660.784	-763.259	-575.325	668.556	0	0	0	-797.845	-564.017	646.937	-776.57	-597.146	652.994	-799.01	-539.747	654.977	-780.737	-562.033	661.909	-675.481	1097.515	671.401	-672.651	1162.04	673.284	-700.981	1200.269	679.072	-703.969	1231.407	666.51	-716.281	1208.491	674.341	-713.988	1244.332	660.069	-735.474	1199.106	666.736	-729.425	1230.465	659.856	-758.742	1179.715	658.132	-755.609	1205.047	656.884
29	-770.691	1055.7	688.266	-715.501	1048.637	690.591	-767.127	1128.385	672.824	-707.61	1126.011	692.838	-794.236	-481.129	671.621	-734.031	-497.655	689.544	-702.088	-472.335	662.415	-697.727	-532.834	663.864	-742.305	-568.803	669.54	-746.25	-599.033	660.858	-763.247	-575.339	668.688	0	0	0	-797.839	-564.015	647.023	-776.776	-597.402	653.775	-799.017	-539.762	655.094	-780.763	-562.054	662.038	-675.479	1097.561	671.479	-672.709	1162.052	673.32	-701.038	1200.273	679.107	-704.018	1231.421	666.551	-716.315	1208.457	674.325	-714.043	1244.354	660.101	-735.527	1199.119	666.77	-729.486	1230.505	659.925	-758.78	1179.743	658.177	-755.645	1204.996	656.836
30	-770.734	1055.699	688.279	-715.532	1048.634	690.598	-767.172	1128.408	672.878	-707.649	1126.011	692.857	-794.245	-481.149	671.7	-734.042	-497.663	689.654	-702.095	-472.342	662.508	-697.739	-532.843	664.022	-742.318	-568.812	669.672	-746.278	-599.016	660.954	-763.269	-575.323	668.778	0	0	0	-797.855	-564.025	647.121	-776.809	-597.406	653.934	-799.014	-539.771	655.178	-780.755	-562.055	662.128	-675.542	1097.522	671.441	-672.752	1162.049	673.346	-701.075	1200.28	679.135	-704.083	1231.453	666.601	-716.373	1208.49	674.352	-714.086	1244.33	660.142	-735.573	1199.127	666.789	-729.522	1230.483	659.915	-758.823	1179.723	658.18	-755.69	1205.022	656.871
31	-770.767	1055.704	688.303	-715.578	1048.653	690.61	-767.234	1128.427	672.904	-707.698	1126.02	692.888	-794.242	-481.137	671.77	-734.058	-497.674	689.764	-702.116	-472.379	662.589	-697.728	-532.846	664.126	-742.332	-568.812	669.801	-746.287	-599.002	661.067	-763.245	-575.31	668.847	0	0	0	-797.839	-564.026	647.2	-776.801	-597.41	654.029	-799.029	-539.778	655.282	-780.767	-562.07	662.236	-675.583	1097.542	671.454	-672.799	1162.077	673.378	-701.127	1200.301	679.143	-704.115	1231.419	666.595	-716.425	1208.489	674.364	-714.153	1244.365	660.148	-735.623	1199.139	666.826	-729.573	1230.47	659.911	-758.882	1179.707	658.162	-755.74	1205.026	656.908
32	-770.806	1055.704	688.31	-715.619	1048.659	690.648	-767.273	1128.44	672.92	-707.741	1126.016	692.895	-794.262	-481.167	671.874	-734.068	-497.669	689.868	-702.117	-472.38	662.683	-697.714	-532.844	664.221	-742.336	-568.861	669.952	-746.251	-599.043	661.153	-763.236	-575.317	668.921	0	0	0	-797.85	-564.03	647.315	-776.795	-597.42	654.104	-799.007	-539.777	655.343	-780.784	-562.067	662.329	-675.602	1097.572	671.558	-672.846	1162.089	673.403	-701.169	1200.324	679.186	-704.181	1231.427	666.618	-716.48	1208.514	674.393	-714.182	1244.371	660.174	-735.664	1199.131	666.827	-729.622	1230.465	659.919	-758.929	1179.74	658.19	-755.795	1205.032	656.914
