Trajectories
100
	x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_RHandOut			x_RHandIn			x_RThumb1			x_RThumbTip			x_RIndex2			x_RIndexTip			x_RMiddle2			x_RMiddleTip			x_RRing2			x_RRingTip			x_RPinky2			x_RPinkyTip			x_LThumb1			x_LThumbTip			x_LIndex2			x_LIndexTip			x_LMiddle2			x_LMiddleTip			x_LRing2			x_LRingTip			x_LPinky2			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
443	-646.899	859.42	476.642	-598.71	832.647	478.995	-619.809	917.532	443.532	-563.138	897.615	459.348	-588.108	-458.754	468.767	-526.812	-441.193	477.842	-519.449	-397.731	454.683	-482.615	-443.82	438.823	-498.812	-499.523	439.352	-487.904	-523.401	421.83	-513.952	-515.707	437.289	-500.836	-538.581	411.884	-551.677	-522.605	422.059	-518.345	-539.109	416.632	-564.254	-506.35	437.415	-537.318	-515.961	436.824	-547.364	855.898	439.291	-518.666	906.874	412.581	-530.432	956.336	419.977	-524.159	976.912	393.87	-547.835	967.42	405.958	-539.672	982.364	370.078	-571.326	965.673	402.634	-560.868	979.613	373.384	-601.133	957.55	401.812	-593.139	969.459	380.667
444	-646.078	857.265	474.35	-597.98	830.335	476.802	-618.794	915.173	440.917	-562.257	895.136	456.875	-586.665	-457.262	465.993	-525.237	-439.188	474.737	-518.156	-395.717	451.919	-481.361	-441.585	435.632	-496.997	-497.291	436.016	-485.976	-520.997	418.241	-512.063	-513.501	433.874	-498.866	-536.148	408.254	-549.772	-520.542	418.718	-516.39	-536.839	413.096	-561.933	-504.352	434.225	-535.341	-513.931	433.372	-546.606	853.3	436.851	-517.824	903.963	409.608	-529.368	953.401	416.893	-523.098	973.528	390.383	-546.855	964.391	402.726	-538.82	978.649	366.43	-570.386	962.707	399.369	-560.085	976.024	369.635	-600.117	954.794	398.782	-592.178	966.276	377.413
445	-645.236	855.085	472.038	-597.227	828.044	474.602	-617.813	912.766	438.311	-561.212	892.769	454.582	-584.956	-455.487	462.848	-523.408	-437.38	472.113	-516.873	-393.682	449.152	-480.167	-439.144	432.157	-495.169	-495.021	432.682	-483.771	-518.477	414.781	-509.676	-511.156	430.44	-497.381	-533.758	404.722	-547.894	-518.444	415.403	-514.492	-534.52	409.562	-560.075	-502.437	431.087	-533.53	-511.888	430.173	-545.848	850.672	434.322	-516.92	901.021	406.568	-528.363	950.463	413.691	-522.036	970.159	386.823	-545.869	961.239	399.275	-537.909	975	362.94	-569.434	959.727	396.166	-559.257	972.481	366.137	-599.103	951.972	395.757	-591.183	963.05	374.132
446	-644.459	852.895	469.792	-596.519	825.737	472.417	-616.868	910.346	435.864	-560.303	890.298	452.203	-583.278	-453.999	460.308	-521.751	-435.443	469.221	-515.564	-391.601	446.464	-478.687	-436.734	428.995	-493.406	-492.753	429.38	-482.223	-516.128	411.23	-507.83	-508.95	427.104	-495.413	-531.281	401.082	-546.009	-516.313	411.988	-512.556	-532.185	405.945	-558.241	-500.491	427.849	-531.567	-509.767	426.753	-545.1	848.047	431.802	-516.196	898.083	403.561	-527.31	947.515	410.568	-520.915	966.761	383.259	-544.916	958.259	396.174	-537.135	971.326	359.585	-568.468	956.717	392.961	-558.452	968.881	362.527	-598.29	948.983	392.648	-590.19	959.87	370.87
447	-643.598	850.722	467.406	-595.784	823.438	470.171	-615.889	907.968	433.267	-559.379	887.76	449.633	-581.363	-452.098	457.177	-520.145	-433.515	466.404	-514.294	-389.486	443.684	-477.33	-434.457	426.094	-491.624	-490.425	426.021	-480.444	-513.63	407.882	-505.954	-506.684	423.681	-493.576	-528.775	397.438	-544.183	-514.145	408.668	-510.705	-529.813	402.391	-556.432	-498.519	424.629	-529.808	-507.666	423.52	-544.359	845.43	429.256	-515.402	895.15	400.359	-526.231	944.566	407.471	-519.869	963.422	379.817	-543.881	955.098	392.756	-536.28	967.612	356.056	-567.508	953.741	389.712	-557.594	965.344	359.001	-597.236	946.18	389.616	-589.183	956.692	367.723
448	-642.809	848.557	465.116	-595.062	821.125	467.963	-614.889	905.526	430.624	-558.412	885.245	447.065	-579.705	-450.542	454.546	-518.536	-431.515	463.424	-513.065	-387.364	440.965	-475.996	-432.078	423.16	-489.882	-488.06	422.712	-478.612	-511.113	404.341	-504.158	-504.398	420.327	-491.661	-526.388	394.071	-542.337	-511.943	405.225	-508.827	-527.388	398.819	-554.617	-496.511	421.423	-527.918	-505.557	420.128	-543.648	842.81	426.639	-514.663	892.174	397.229	-525.208	941.63	404.398	-518.853	960.05	376.466	-542.935	951.971	389.506	-535.493	963.782	352.393	-566.546	950.721	386.479	-556.765	961.776	355.537	-596.243	943.603	386.477	-588.203	953.436	364.514
449	-642.032	846.461	462.866	-594.148	818.92	466.011	-613.948	903.127	428.166	-557.508	882.702	444.547	-578.073	-448.706	451.46	-516.978	-429.546	460.566	-511.832	-385.244	438.264	-474.516	-429.555	419.943	-488.11	-485.683	419.323	-476.78	-508.553	400.759	-502.323	-502.08	416.88	-489.778	-523.795	390.332	-540.533	-509.709	401.895	-506.986	-524.968	395.198	-552.831	-494.475	418.204	-526.163	-503.422	416.89	-542.942	840.182	424.089	-513.94	889.195	394.021	-524.165	938.693	401.335	-517.798	956.76	373.097	-541.916	948.867	386.221	-534.648	960.049	348.923	-565.556	947.73	383.316	-555.929	958.196	352.048	-595.242	940.738	383.483	-587.159	950.234	361.271
450	-641.228	844.234	460.588	-593.409	816.608	463.739	-612.947	900.674	425.483	-556.572	880.158	441.932	-576.471	-447.122	448.877	-515.417	-427.488	457.581	-510.61	-383.059	435.509	-473.127	-427.105	416.968	-486.405	-483.276	416.012	-474.999	-505.945	397.224	-500.52	-499.731	413.442	-488.022	-521.183	386.801	-538.729	-507.473	398.467	-505.178	-522.475	391.618	-551.067	-492.41	415.022	-524.319	-501.178	413.429	-542.19	837.55	421.429	-513.204	886.211	390.741	-523.088	935.746	398.209	-516.8	953.442	369.786	-540.941	945.77	383.022	-533.782	956.377	345.472	-564.614	944.681	380.081	-555.075	954.692	348.598	-594.164	937.955	380.445	-586.211	947.031	358.053
451	-640.371	842.035	458.178	-592.67	814.29	461.488	-611.936	898.221	422.844	-555.67	877.626	439.317	-574.848	-445.371	445.976	-513.941	-425.489	454.655	-509.414	-380.889	432.802	-471.586	-424.415	413.519	-484.729	-480.865	412.674	-473.255	-503.337	393.71	-498.743	-497.349	409.972	-486.222	-518.524	383.077	-536.965	-505.184	395.106	-503.366	-519.979	387.936	-549.321	-490.375	411.785	-522.599	-498.984	410.173	-541.466	834.935	418.718	-512.484	883.184	387.511	-522.051	932.768	395.201	-515.768	950.109	366.434	-539.965	942.709	379.799	-532.901	952.695	342.006	-563.68	941.734	376.98	-554.134	951.224	345.383	-593.164	935.092	377.458	-585.147	943.852	355.041
452	-639.574	839.83	455.882	-591.823	811.974	459.178	-610.98	895.731	420.177	-554.755	875.106	436.823	-573.238	-443.466	442.874	-512.429	-423.443	451.692	-508.282	-378.69	430.111	-470.292	-421.983	410.733	-483.042	-478.417	409.375	-471.471	-500.703	390.176	-497.031	-494.933	406.524	-484.518	-515.836	379.49	-535.218	-502.913	391.724	-501.618	-517.46	384.35	-548.048	-488.378	408.57	-520.436	-496.679	406.91	-540.731	832.312	416.116	-511.81	880.23	384.177	-521.043	929.799	392.091	-514.748	946.844	363.139	-538.966	939.618	376.582	-532.035	949.014	338.641	-562.743	938.693	373.793	-553.276	947.699	342.01	-592.178	932.237	374.484	-584.203	940.681	351.836
453	-638.733	837.626	453.47	-591.087	809.617	456.931	-610.041	893.235	417.466	-553.815	872.521	434.15	-571.682	-441.857	440.271	-510.989	-421.379	448.795	-507.137	-376.498	427.451	-469	-419.484	407.778	-481.389	-475.98	406.002	-469.782	-498.038	386.701	-495.329	-492.54	403.142	-482.724	-513.135	375.74	-533.871	-500.627	388.263	-499.859	-514.9	380.692	-546.343	-486.262	405.345	-518.708	-494.423	403.578	-540.04	829.675	413.419	-511.109	877.167	380.873	-520.026	926.878	389.028	-513.749	943.523	359.876	-538.034	936.538	373.45	-531.189	945.398	335.297	-561.78	935.689	370.645	-552.402	944.226	338.604	-591.119	929.419	371.447	-583.182	937.51	348.684
454	-637.916	835.398	451.098	-590.338	807.273	454.605	-609.108	890.717	414.798	-552.867	870.03	431.665	-570.172	-440.048	437.479	-509.559	-419.293	445.858	-505.994	-374.287	424.705	-467.512	-416.775	404.43	-479.796	-473.525	402.746	-468.031	-495.333	383.028	-493.67	-490.172	399.806	-481.087	-510.417	372.21	-532.192	-498.329	384.93	-498.165	-512.351	377.151	-544.641	-484.142	402.11	-517.045	-492.156	400.286	-539.257	827.024	410.752	-510.385	874.137	377.569	-519.038	923.872	386	-512.763	940.217	356.607	-537.044	933.438	370.246	-530.317	941.763	331.95	-560.858	932.597	367.484	-551.575	940.741	335.322	-590.132	926.552	368.501	-582.207	934.359	345.641
455	-637.056	833.166	448.727	-589.585	804.926	452.307	-608.172	888.157	412.166	-551.998	867.415	429.024	-568.662	-438.097	434.389	-508.136	-417.222	442.913	-504.88	-372.069	421.964	-466.372	-414.39	401.657	-478.191	-471.034	399.398	-466.431	-492.728	379.689	-492.024	-487.743	396.344	-479.383	-507.69	368.452	-530.51	-495.964	381.54	-496.466	-509.771	373.502	-543.001	-481.994	398.947	-515.328	-489.868	396.879	-538.544	824.349	408.074	-509.669	871.146	374.418	-518.049	920.886	382.922	-511.78	936.915	353.348	-536.111	930.375	367.107	-529.484	938.217	328.632	-559.952	929.861	364.603	-550.758	937.234	332.017	-589.046	923.803	365.672	-581.233	931.164	342.502
456	-636.247	830.932	446.411	-588.858	802.549	450.018	-607.224	885.663	409.528	-551.109	864.796	426.347	-567.168	-436.43	431.763	-506.76	-415.117	440.031	-503.801	-369.762	419.113	-465.087	-411.686	398.322	-476.636	-468.569	396.128	-464.918	-490.109	376.241	-490.4	-485.273	392.898	-477.818	-504.943	364.88	-528.543	-493.576	378.297	-494.839	-507.178	369.967	-541.4	-479.848	395.767	-513.713	-487.606	393.604	-537.892	821.616	405.326	-508.997	868.143	371.113	-517.064	917.896	379.83	-510.827	933.595	350.125	-535.211	927.291	364	-528.649	934.649	325.311	-559.048	926.815	361.468	-549.99	933.732	328.743	-588.07	920.934	362.653	-580.295	928.011	339.485
457	-635.44	828.673	443.947	-588.111	800.185	447.711	-606.274	883.126	406.84	-550.205	862.192	423.743	-565.742	-434.614	428.967	-505.402	-413.026	437.094	-502.782	-367.563	416.429	-463.988	-409.228	395.492	-475.163	-466.1	392.813	-463.289	-487.42	372.671	-488.83	-482.821	389.519	-476.237	-502.185	361.188	-526.992	-491.226	374.967	-493.23	-504.591	366.397	-539.812	-477.699	392.515	-512.13	-485.296	390.31	-537.184	818.91	402.687	-508.415	865.074	367.897	-516.095	914.886	376.797	-509.886	930.283	346.884	-534.253	924.229	360.816	-527.853	931.104	322.082	-558.16	923.754	358.346	-549.224	930.213	325.496	-587.115	918.036	359.668	-579.374	924.836	336.441
458	-634.629	826.426	441.63	-587.4	797.812	445.455	-605.346	880.583	404.226	-549.308	859.584	421.192	-564.307	-432.752	426.078	-504.082	-410.944	434.193	-501.797	-365.401	413.72	-462.638	-406.586	392.257	-473.694	-463.638	389.555	-461.798	-484.724	369.191	-487.293	-480.4	386.11	-474.727	-499.459	357.553	-525.452	-488.874	371.602	-491.693	-501.983	362.777	-538.289	-475.522	389.276	-510.53	-483.004	386.928	-536.516	816.168	399.992	-507.771	862.026	364.611	-515.141	911.871	373.734	-509.028	927.075	343.524	-533.374	921.144	357.714	-527.159	927.371	318.898	-557.271	920.715	355.209	-548.446	926.713	322.121	-586.165	915.131	356.757	-578.444	921.643	333.384
459	-633.794	824.167	439.231	-586.662	795.434	443.148	-604.45	878.045	401.636	-548.395	856.959	418.502	-562.903	-430.916	423.242	-502.766	-408.868	431.266	-500.74	-363.192	411.045	-461.552	-404.192	389.461	-472.267	-461.184	386.225	-460.522	-481.96	365.519	-485.849	-477.967	382.801	-473.25	-496.706	353.929	-523.962	-486.511	368.255	-490.25	-499.407	359.299	-536.801	-473.355	386.125	-509.042	-480.693	383.676	-535.854	813.406	397.284	-507.196	858.931	361.377	-514.14	908.824	370.608	-508.112	923.68	340.269	-532.485	918.03	354.63	-526.407	923.786	315.722	-556.364	917.55	351.965	-547.725	923.166	318.851	-585.222	912.189	353.776	-577.567	918.472	330.313
460	-633.011	821.894	436.938	-585.928	793.057	440.914	-603.5	875.482	398.902	-547.555	854.332	415.957	-561.788	-429.125	420.387	-501.5	-406.79	428.341	-499.751	-361.002	408.391	-460.343	-401.768	386.656	-470.88	-458.73	382.903	-459.083	-479.267	361.956	-484.411	-475.507	379.331	-471.831	-493.969	350.298	-522.522	-484.088	364.9	-488.764	-496.774	355.657	-534.941	-471.092	382.976	-507.602	-478.362	380.361	-535.182	810.633	394.572	-506.661	855.778	358.043	-513.179	905.73	367.531	-507.215	920.268	337.041	-531.597	914.885	351.533	-525.678	920.266	312.554	-555.515	914.453	348.829	-547.015	919.598	315.589	-584.325	909.294	350.854	-576.7	915.234	327.31
461	-632.162	819.653	434.625	-585.193	790.684	438.66	-602.609	872.996	396.428	-546.647	851.69	413.298	-560.522	-427.225	417.508	-500.266	-404.677	425.465	-498.767	-358.821	405.695	-459.195	-399.205	383.56	-469.528	-456.265	379.608	-457.736	-476.624	358.495	-483.001	-473.055	375.939	-470.517	-491.241	346.763	-521.14	-481.674	361.539	-487.404	-494.132	352.112	-533.557	-468.871	379.767	-506.217	-476.06	377.059	-534.537	807.868	391.905	-506.484	852.677	354.47	-512.247	902.607	364.408	-506.298	916.951	333.83	-530.683	912.134	348.582	-524.921	916.644	309.314	-554.672	911.336	345.694	-546.337	916.001	312.352	-583.39	906.385	347.907	-575.823	912.022	324.282
462	-631.391	817.427	432.413	-584.471	788.313	436.399	-601.695	870.434	393.689	-545.817	849.107	410.616	-559.201	-425.328	414.671	-499.034	-402.688	422.668	-497.75	-356.594	403.046	-458.188	-396.661	380.53	-468.234	-453.776	376.326	-456.412	-473.921	355.043	-481.694	-470.6	372.64	-469.247	-488.519	343.229	-519.791	-479.244	358.131	-486.111	-491.47	348.475	-532.211	-466.654	376.561	-504.834	-473.694	373.638	-533.914	805.071	389.222	-505.897	849.462	351.301	-511.26	899.48	361.245	-505.4	913.311	330.387	-529.823	908.575	345.303	-524.165	913.037	306.158	-553.871	908.067	342.603	-545.649	912.381	309.123	-582.54	903.524	345.068	-574.949	908.803	321.253
463	-630.57	815.224	430.13	-583.781	785.918	434.201	-600.786	867.879	391.067	-544.99	846.453	408.088	-557.888	-423.371	411.719	-497.82	-400.57	419.733	-496.784	-354.385	400.386	-457.067	-394.277	377.519	-466.98	-451.299	373.073	-455.147	-471.224	351.55	-480.394	-468.11	369.214	-467.996	-485.755	339.653	-518.513	-476.792	354.761	-484.84	-488.815	344.821	-530.881	-464.383	373.305	-503.542	-471.334	370.29	-533.299	802.287	386.591	-505.315	846.332	348.076	-510.335	896.329	358.195	-504.509	909.773	327.067	-528.928	905.404	342.231	-523.352	909.37	302.912	-553.048	904.926	339.479	-544.957	908.78	305.898	-581.644	900.571	342.221	-574.117	905.605	318.24
464	-629.763	813.003	427.844	-583.065	783.526	431.954	-599.914	865.322	388.43	-544.09	843.835	405.492	-556.703	-421.417	408.904	-496.662	-398.463	416.87	-495.83	-352.167	397.74	-456.042	-391.761	374.622	-465.732	-448.805	369.779	-453.901	-468.501	348.029	-479.588	-465.751	365.653	-466.389	-482.851	335.976	-517.261	-474.303	351.388	-483.544	-486.277	341.341	-529.593	-462.111	370.059	-502.326	-468.972	366.956	-532.662	799.481	383.956	-504.787	843.137	344.981	-509.402	893.13	355.085	-503.668	906.192	323.773	-528.06	902.211	339.155	-522.617	905.714	299.706	-552.207	901.734	336.338	-544.248	905.135	302.688	-580.739	897.583	339.223	-573.261	902.373	315.249
465	-628.934	810.503	425.301	-582.371	781.155	429.753	-599.044	862.797	385.84	-543.224	841.222	402.838	-555.429	-419.445	405.993	-495.489	-396.309	413.935	-494.859	-349.943	395.011	-454.841	-389.078	371.219	-464.53	-446.26	366.48	-452.661	-465.771	344.374	-478.365	-463.252	362.358	-465.228	-480.036	332.344	-516.005	-471.793	348.027	-482.534	-483.467	337.594	-528.321	-459.802	366.836	-501.104	-466.559	363.575	-532.048	796.704	381.4	-504.227	839.927	341.869	-508.465	889.941	351.934	-502.832	902.606	320.462	-527.191	898.982	336.014	-521.892	902.008	296.557	-551.383	898.571	333.198	-543.566	901.495	299.485	-579.852	894.63	336.255	-572.412	899.136	312.267
466	-628.17	808.236	422.934	-581.68	778.809	427.553	-598.168	860.221	383.167	-542.419	838.603	400.351	-553.906	-417.333	403.026	-494.364	-394.152	411.043	-493.941	-347.695	392.356	-453.991	-386.723	368.505	-463.339	-443.743	363.153	-451.504	-463.009	340.951	-477.168	-460.722	358.967	-464.094	-477.173	328.701	-514.754	-469.247	344.63	-481.294	-480.902	334.176	-527.093	-457.476	363.638	-499.942	-464.142	360.228	-531.451	793.925	378.842	-503.704	836.757	338.837	-507.523	886.752	348.792	-502.001	898.976	317.057	-526.336	895.77	332.905	-521.211	898.294	293.431	-550.583	895.36	330.085	-542.91	897.848	296.304	-578.989	891.692	333.388	-571.582	895.894	309.297
467	-627.46	806.107	420.856	-580.989	776.444	425.387	-597.324	857.675	380.62	-541.558	836.052	397.757	-552.76	-415.299	400.203	-493.245	-391.959	408.138	-492.999	-345.42	389.689	-452.871	-383.994	365.086	-462.257	-441.185	359.864	-450.157	-460.239	337.619	-475.991	-458.162	355.441	-463.04	-474.334	325.159	-513.581	-466.713	341.265	-480.215	-478.215	330.559	-525.871	-455.11	360.402	-498.811	-461.737	356.877	-530.822	791.172	376.357	-503.113	833.614	335.752	-506.647	883.548	345.707	-501.198	895.277	313.653	-525.493	892.561	329.826	-520.346	894.553	290.259	-549.784	892.204	327.021	-542.21	894.221	293.18	-578.125	888.699	330.462	-570.751	892.669	306.343
468	-626.674	803.844	418.516	-580.29	774.144	423.212	-596.481	855.124	377.89	-540.78	833.471	395.265	-551.547	-413.256	397.323	-492.104	-389.724	405.23	-492.104	-343.096	386.964	-452.056	-381.603	362.355	-461.091	-438.566	356.522	-449.026	-457.374	334.075	-474.85	-455.576	352.094	-461.974	-471.444	321.543	-512.452	-464.138	337.876	-479.156	-475.445	326.899	-524.688	-452.745	357.182	-497.626	-459.257	353.501	-530.199	788.466	373.878	-502.623	830.405	332.867	-505.76	880.323	342.572	-500.477	891.555	310.265	-524.718	889.321	326.742	-519.622	890.865	287.068	-549.023	888.992	324.017	-541.539	890.544	290.042	-577.366	885.621	327.493	-569.944	889.426	303.38
469	-625.949	801.56	416.233	-579.621	771.858	421.105	-595.646	852.6	375.301	-539.978	830.97	392.757	-550.343	-411.138	394.454	-490.97	-387.477	402.27	-491.228	-340.764	384.299	-451.141	-379.026	359.452	-459.921	-435.925	353.175	-447.927	-454.511	330.561	-473.722	-452.966	348.751	-460.894	-468.522	317.932	-511.324	-461.533	334.476	-478.057	-472.677	323.28	-523.536	-450.348	353.961	-496.454	-456.762	350.097	-529.568	785.783	371.437	-502.058	827.258	330.011	-504.877	877.168	339.373	-499.766	887.798	306.91	-523.99	886.102	323.658	-518.998	887.131	284.008	-548.254	885.797	320.934	-540.898	886.903	286.885	-576.559	882.652	324.655	-569.171	886.163	300.419
470	-625.157	799.224	413.731	-578.932	769.59	418.946	-594.852	850.046	372.693	-539.202	828.513	390.248	-549.148	-409.078	391.564	-489.859	-385.179	399.376	-490.362	-338.416	381.572	-450.191	-376.327	356.293	-458.675	-433.26	349.835	-446.814	-451.582	327.01	-472.526	-450.3	345.218	-459.798	-465.553	314.271	-510.21	-458.944	331.112	-477.021	-469.875	319.795	-522.353	-447.944	350.745	-495.309	-454.252	346.726	-528.924	783.09	368.985	-501.46	824.189	327.051	-504.031	873.962	336.245	-499.079	884.039	303.516	-523.288	882.873	320.611	-518.358	883.359	280.914	-547.528	882.57	317.823	-540.251	883.254	283.776	-575.765	879.674	321.76	-568.394	882.956	297.52
471	-624.485	797.101	411.573	-578.253	767.334	416.82	-594.071	847.53	370.075	-538.42	826.051	387.808	-547.959	-406.96	388.772	-488.736	-382.89	396.392	-489.521	-336.002	378.893	-449.154	-373.338	352.794	-457.536	-430.529	346.486	-445.69	-448.615	323.441	-471.386	-447.634	341.876	-458.693	-462.548	310.625	-509.098	-456.317	327.789	-475.939	-466.987	316.21	-521.191	-445.488	347.549	-494.154	-451.697	343.411	-528.295	780.433	366.641	-500.91	821.126	324.331	-503.277	870.677	333.029	-498.459	880.252	300.133	-522.522	879.691	317.548	-517.701	879.657	277.755	-546.852	879.208	314.738	-539.64	879.613	280.752	-574.937	876.728	318.876	-567.62	879.709	294.578
472	-623.766	794.758	409.186	-577.577	765.078	414.728	-593.35	845.058	367.516	-537.663	823.597	385.315	-546.801	-404.665	385.641	-487.64	-380.554	393.48	-488.662	-333.613	376.191	-448.318	-370.716	349.942	-456.421	-427.78	343.193	-444.522	-445.627	319.785	-470.228	-444.897	338.516	-457.631	-459.526	307.078	-507.959	-453.647	324.437	-474.826	-464.107	312.609	-520.02	-443.033	344.365	-492.992	-449.089	340.081	-527.649	777.781	364.247	-500.258	818.242	321.541	-502.665	867.288	329.678	-497.881	876.47	296.764	-521.799	876.558	314.508	-517.149	875.981	274.761	-546.139	876.077	311.741	-539.051	875.993	277.712	-574.146	873.781	316.011	-566.925	876.399	291.642
473	-623.048	792.541	406.857	-577.006	762.763	412.492	-592.548	842.54	364.871	-536.916	821.133	382.844	-545.579	-402.704	382.98	-486.52	-378.217	390.552	-487.89	-331.18	373.481	-447.46	-367.916	346.983	-455.265	-425.011	339.864	-443.403	-442.577	316.194	-469.008	-442.119	335.071	-456.542	-456.471	303.533	-506.82	-450.948	321.078	-473.701	-461.144	309.004	-518.858	-440.537	341.167	-491.799	-446.45	336.754	-527.018	775.173	361.952	-499.715	815.208	318.812	-502.131	863.91	326.318	-497.415	872.608	293.339	-521.118	873.392	311.542	-516.571	872.263	271.755	-545.454	872.939	308.773	-538.511	872.357	274.71	-573.452	870.957	313.226	-566.089	872.938	288.717
474	-622.351	790.317	404.642	-576.329	760.532	410.418	-591.812	840.059	362.445	-536.218	818.669	380.416	-544.39	-400.548	380.203	-485.424	-375.858	387.568	-486.849	-328.814	371.017	-446.492	-365.06	343.867	-454.156	-422.25	336.547	-442.298	-439.489	312.621	-467.837	-439.352	331.67	-455.461	-453.405	299.99	-505.68	-448.276	317.787	-472.587	-458.161	305.428	-517.667	-438.031	337.991	-490.621	-443.789	333.432	-526.389	772.537	359.574	-499.142	812.271	316.131	-501.47	860.695	323.194	-496.921	868.817	290.047	-520.452	870.213	308.544	-516	868.585	268.808	-544.78	869.795	305.768	-538.021	868.747	271.744	-572.674	868.039	310.332	-565.386	869.708	285.867
475	-621.634	788.097	402.363	-575.667	758.288	408.334	-591.009	837.59	359.816	-535.417	816.165	377.982	-543.231	-398.348	377.307	-484.351	-373.499	384.758	-486.032	-326.263	368.415	-445.563	-362.251	340.946	-453.04	-419.485	333.259	-441.261	-436.469	309.151	-466.707	-436.527	328.317	-454.375	-450.305	296.399	-504.58	-445.519	314.528	-471.488	-455.211	301.975	-516.499	-435.49	334.809	-489.448	-441.095	330.1	-525.769	769.926	357.288	-498.587	809.333	313.409	-500.857	857.47	320.064	-496.396	865.092	286.773	-519.784	867.068	305.612	-515.49	864.888	265.849	-544.172	866.682	302.821	-537.481	865.081	268.742	-571.996	865.113	307.61	-564.682	866.49	283.034
476	-620.925	785.89	400.11	-575.011	756.073	406.243	-590.301	835.135	357.411	-534.717	813.732	375.553	-542.081	-396.148	374.464	-483.268	-371.099	381.801	-485.15	-323.758	365.796	-444.645	-359.389	337.974	-451.954	-416.679	329.995	-440.178	-433.419	305.674	-465.562	-433.733	324.951	-453.292	-447.172	292.82	-503.465	-442.752	311.197	-470.39	-452.194	298.389	-515.354	-432.918	331.639	-488.285	-438.378	326.788	-525.159	767.318	355.029	-498.023	806.397	310.773	-500.206	854.285	316.996	-495.945	861.334	283.569	-519.115	863.975	302.782	-514.977	861.229	262.928	-543.565	863.563	299.934	-537.027	861.495	265.849	-571.266	862.219	304.815	-564.005	863.293	280.186
477	-620.243	783.659	397.875	-574.333	753.85	404.116	-589.513	832.644	354.814	-533.934	811.309	373.144	-540.898	-393.889	371.591	-482.169	-368.691	378.905	-484.277	-321.256	363.243	-443.673	-356.531	335.016	-450.868	-413.864	326.762	-439.219	-430.28	302.061	-464.473	-430.893	321.572	-452.301	-444.09	289.381	-502.351	-439.968	307.917	-469.304	-449.125	294.839	-514.203	-430.323	328.466	-487.151	-435.632	323.442	-524.538	764.668	352.66	-497.46	803.46	308.135	-499.566	851.108	313.922	-495.477	857.567	280.382	-518.459	860.807	299.864	-514.456	857.811	259.944	-542.967	860.515	297.103	-536.531	857.929	262.927	-570.537	859.325	301.995	-563.308	860.1	277.428
478	-619.474	781.458	395.631	-573.679	751.612	401.999	-588.79	830.198	352.434	-533.15	808.876	370.777	-539.802	-391.644	368.829	-481.096	-366.253	376.043	-483.367	-318.748	360.734	-442.455	-353.674	332.312	-449.768	-411.071	323.597	-437.931	-427.11	298.782	-463.409	-428.074	318.31	-451.297	-440.952	285.907	-501.29	-437.134	304.654	-468.266	-446.05	291.339	-513.081	-427.68	325.283	-486.007	-432.892	320.143	-523.949	762.07	350.33	-496.948	800.573	305.434	-498.961	847.907	310.912	-495.092	853.891	277.32	-517.814	857.724	296.987	-513.874	854.275	257.084	-542.351	857.412	294.196	-536.076	854.365	260.09	-569.847	856.497	299.361	-562.641	856.957	274.676
479	-618.803	779.238	393.405	-572.936	749.419	399.999	-588.03	827.745	349.857	-532.337	806.463	368.386	-538.674	-389.201	365.762	-480.055	-363.805	373.228	-482.51	-316.178	358.179	-441.537	-350.761	329.402	-448.717	-408.21	320.423	-436.879	-424.018	295.392	-462.291	-425.181	314.911	-450.281	-437.786	282.386	-500.229	-434.306	301.362	-467.279	-442.985	287.937	-511.968	-425.03	322.13	-484.929	-430.087	316.878	-523.348	759.459	347.974	-496.399	797.643	302.825	-498.332	844.755	307.978	-494.635	850.2	274.207	-517.122	854.688	294.175	-513.351	850.658	254.322	-541.703	854.367	291.342	-535.596	850.796	257.227	-569.101	853.66	296.551	-561.97	853.836	271.938
